Class,IS for normalization (main) POS,IS for normalization (option 1) POS,IS for normalization (option 2) POS,IS for normalization (option 3) POS,IS for normalization (option 4) POS,IS for normalization (main) NEG,IS for normalization (option 1) NEG,IS for normalization (option 2) NEG,IS for normalization (option 3) NEG
MG,[D7]MG 18:1,[D9]DG 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]MG 18:1,[D9]DG 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0
HexDG,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1
HexMG,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1
MIPC,[D7]PG 15:0_18:1,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1
MLCL,[D5]CL 18:2/18:2/18:2/18:2,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D5]CL 18:2/18:2/18:2/18:2,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
NAx,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
NAE,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
NAHis,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
NAPE,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
NAT,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
Other,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]PE 16:0_16:0
PA,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1
PC,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D7]LPC 18:1
PEtH,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D9]LPE 16:0,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1
PE,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D9]LPE 16:0,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1
PE-Cer,[D9]PE 16:0_16:0,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1,[D9]LPE 16:0,[D9]PE 16:0_16:0,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1
PE-NMe,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D9]LPE 16:0,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1
PG,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1
PI,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1
